t_in,t_out,lado,entry,exit,tp,sl,pnl,motivo,z,p_up,p_mc,atr,expansion,bars,eq
2024-03-01 15:00:00+00:00,2024-03-01 15:15:00+00:00,1,2055.71,2061.7014285714286,2061.7014285714286,2053.3134285714286,5.691428571428514,TP,4.299550558152929,0.9959827434614735,0.621,2.9957142857142247,1,1,8.555999999999585
2024-03-05 13:15:00+00:00,2024-03-05 13:30:00+00:00,1,2131.75,2129.499142857143,2137.377142857143,2129.499142857143,-2.5508571428570574,SL_amb,2.1321847297208043,0.9994093570705973,0.76125,2.8135714285714846,1,1,6.005142857142528
2024-03-06 13:45:00+00:00,2024-03-06 14:00:00+00:00,1,2139.44,2137.1525714285717,2145.1585714285716,2137.1525714285717,-2.587428571428336,SL,2.1334772941371742,0.986175165363379,0.5842499999999999,2.859285714285664,1,1,3.417714285714192
2024-04-03 16:15:00+00:00,2024-04-03 22:15:00+00:00,1,2291.68,2302.7242857142855,2302.7242857142855,2287.2622857142856,10.744285714285706,TP,2.3477709185590503,0.9991859860020904,0.5935,5.522142857142918,1,20,14.161999999999898
2024-04-12 14:00:00+00:00,2024-04-12 14:45:00+00:00,1,2414.18,2425.371428571428,2425.371428571428,2409.7034285714285,10.891428571428332,TP,2.641951378614956,0.9990974542611796,0.8082499999999999,5.595714285714264,1,3,25.053428571428228
2024-05-28 13:15:00+00:00,2024-05-28 13:30:00+00:00,1,2360.84,2358.277142857143,2367.247142857143,2358.277142857143,-2.8628571428569556,SL,2.5209960227530734,0.9994238751569041,0.6325,3.2035714285713572,1,1,22.19057142857127
2024-06-20 13:30:00+00:00,2024-06-20 14:00:00+00:00,1,2345.19,2352.921428571429,2352.921428571429,2342.0974285714287,7.431428571428751,TP,2.8898970546116516,0.8082793070972414,0.5385,3.865714285714278,1,2,29.62200000000002
2024-07-01 13:30:00+00:00,2024-07-01 13:45:00+00:00,1,2332.64,2330.045714285714,2339.1257142857144,2330.045714285714,-2.894285714285888,SL,2.4539181995525277,0.9990729106943084,0.44675,3.2428571428571495,1,1,26.727714285714132
2024-07-16 13:30:00+00:00,2024-07-16 13:45:00+00:00,1,2445.89,2442.318571428571,2454.8185714285714,2442.318571428571,-3.871428571428896,SL,2.7427552341450157,0.8328827714585634,0.6295,4.464285714285844,1,1,22.856285714285235
2024-08-13 13:30:00+00:00,2024-08-13 14:00:00+00:00,1,2473.68,2470.333142857143,2482.0471428571427,2470.333142857143,-3.646857142857061,SL,2.423717956007439,0.998452154501657,0.665,4.18357142857144,1,2,19.209428571428173
2024-09-24 16:00:00+00:00,2024-09-24 19:15:00+00:00,1,2649.9,2660.4457142857145,2660.4457142857145,2645.6817142857144,10.245714285714438,TP,2.8077489329335945,0.9992450248418688,0.54275,5.272857142857122,1,13,29.45514285714261
2024-10-18 13:30:00+00:00,2024-10-18 18:45:00+00:00,1,2712.55,2720.4,2720.4,2709.4100000000003,7.549999999999909,TP,2.3100959530759018,0.6183466487641261,0.66775,3.924999999999987,1,21,37.00514285714252
2024-10-29 13:00:00+00:00,2024-10-29 13:30:00+00:00,1,2755.51,2752.6757142857145,2762.5957142857146,2752.6757142857145,-3.13428571428567,SL,2.7380109334014757,0.9976940425165342,0.6407499999999999,3.542857142857169,1,2,33.870857142856856
2024-11-20 14:30:00+00:00,2024-11-20 14:45:00+00:00,1,2645.62,2642.058857142857,2654.522857142857,2642.058857142857,-3.8611428571428403,SL,2.0773108283508845,0.9992437886031198,0.497,4.451428571428648,1,1,30.009714285714015
2024-12-11 13:30:00+00:00,2024-12-11 14:30:00+00:00,1,2700.22,2697.2045714285714,2707.758571428571,2697.2045714285714,-3.3154285714284013,SL,3.1593421614207218,0.9990858114878598,0.59925,3.769285714285648,1,4,26.694285714285613
2024-12-11 14:45:00+00:00,2024-12-11 15:30:00+00:00,1,2706.29,2714.9757142857143,2714.9757142857143,2702.8157142857144,8.385714285714311,TP,2.4342201041900595,0.999285901869035,0.637,4.342857142857058,1,3,35.07999999999993
2024-12-26 15:00:00+00:00,2024-12-26 16:30:00+00:00,1,2634.84,2632.4925714285714,2640.7085714285713,2632.4925714285714,-2.647428571428736,SL,2.2180707994610582,0.9918996522282977,0.62775,2.9342857142856764,1,6,32.432571428571194
2025-01-10 13:45:00+00:00,2025-01-10 14:15:00+00:00,1,2682.56,2690.6385714285716,2690.6385714285716,2679.328571428571,7.77857142857165,TP,3.5168383150470333,0.9567592741223557,0.5377500000000001,4.039285714285727,1,2,7.77857142857165
2025-01-15 13:30:00+00:00,2025-01-15 13:45:00+00:00,1,2686.81,2693.145714285714,2693.145714285714,2684.2757142857145,6.035714285713948,TP,2.067312914175244,0.9797308634348224,0.619,3.167857142857071,1,1,13.814285714285598
2025-01-21 14:45:00+00:00,2025-01-21 15:30:00+00:00,1,2738.03,2735.265428571429,2744.941428571429,2735.265428571429,-3.0645714285713437,SL,2.0163414577038883,0.9992949354918798,0.6845,3.455714285714326,1,3,10.749714285714255
2025-02-19 13:00:00+00:00,2025-02-19 13:45:00+00:00,1,2940.11,2937.032857142857,2947.802857142857,2937.032857142857,-3.3771428571429167,SL,2.4240634251905893,0.9378773476451083,0.6585,3.846428571428565,1,3,7.372571428571338
2025-03-12 15:00:00+00:00,2025-03-12 15:15:00+00:00,1,2927.98,2924.245142857143,2937.3171428571427,2924.245142857143,-4.034857142856981,SL,2.463904699877717,0.9994011288588736,0.55825,4.668571428571373,1,1,3.337714285714357
2025-03-12 16:00:00+00:00,2025-03-13 02:45:00+00:00,1,2933.72,2943.4357142857143,2943.4357142857143,2929.833714285714,9.415714285714511,TP,2.277017408344894,0.999361516518569,0.565,4.857857142857158,1,39,12.753428571428868
2025-03-13 13:30:00+00:00,2025-03-13 13:45:00+00:00,1,2951.96,2948.634857142857,2960.272857142857,2948.634857142857,-3.625142857142964,SL,2.2993892112981684,0.9625479322527144,0.683,4.156428571428576,1,1,9.128285714285905
2025-04-10 14:00:00+00:00,2025-04-10 15:15:00+00:00,1,3142.79,3163.1914285714283,3163.1914285714283,3134.6294285714284,20.101428571428368,TP,3.1287290234911556,0.9818553588219535,0.636,10.20071428571425,1,5,29.229714285714273
2025-04-16 13:45:00+00:00,2025-04-16 15:45:00+00:00,1,3311.62,3327.9442857142853,3327.9442857142853,3305.0902857142855,16.02428571428545,TP,2.9525219592458902,0.9026346678603753,0.73975,8.162142857142758,1,8,45.25399999999972
2025-06-02 13:30:00+00:00,2025-06-02 16:00:00+00:00,1,3366.65,3379.2385714285715,3379.2385714285715,3361.6145714285717,12.288571428571412,TP,2.252766095203415,0.99795902278211,0.7025,6.294285714285674,1,10,57.54257142857114
2025-06-10 13:15:00+00:00,2025-06-10 14:00:00+00:00,1,3345.86,3341.6805714285715,3356.3085714285717,3341.6805714285715,-4.479428571428616,SL,2.1672719562540492,0.990257755898048,0.5805,5.2242857142856725,1,3,53.06314285714252
2025-06-12 13:30:00+00:00,2025-06-12 13:45:00+00:00,1,3398.41,3391.831142857143,3414.8571428571427,3391.831142857143,-6.878857142857032,SL,2.464808868384158,0.9990519105658427,0.622,8.223571428571436,1,1,46.184285714285494
2025-08-28 13:15:00+00:00,2025-08-28 14:30:00+00:00,1,3404.67,3413.37,3413.37,3401.19,8.399999999999817,TP,2.3073764052231462,0.9991873962424188,0.66225,4.350000000000007,1,5,54.584285714285315
2025-10-06 13:30:00+00:00,2025-10-06 15:45:00+00:00,1,3944.84,3960.0,3960.0,3938.7760000000003,14.859999999999854,TP,2.3856356327833677,0.9988373175747645,0.707,7.579999999999992,1,9,69.44428571428517
2025-10-16 14:00:00+00:00,2025-10-16 14:15:00+00:00,1,4265.31,4257.092857142858,4285.852857142858,4257.092857142858,-8.51714285714279,SL,2.644922771103042,0.9981005461561779,0.664,10.271428571428519,1,1,60.927142857142385
2025-11-12 15:00:00+00:00,2025-11-12 15:30:00+00:00,1,4161.95,4179.9857142857145,4179.9857142857145,4154.735714285714,17.735714285714675,TP,4.391235046267983,0.9981971467140086,0.51625,9.017857142857272,1,2,78.66285714285706
2025-11-19 14:45:00+00:00,2025-11-19 15:15:00+00:00,1,4127.94,4120.254285714285,4147.154285714286,4120.254285714285,-7.9857142857143115,SL,2.1900390836135526,0.9988905629362275,0.671,9.607142857142922,1,2,70.67714285714275
2025-12-11 14:30:00+00:00,2025-12-11 14:45:00+00:00,1,4243.86,4238.038857142857,4258.412857142856,4238.038857142857,-6.121142857143059,SL,2.1554274732920207,0.9993762908896616,0.57675,7.276428571428434,1,1,64.5559999999997
2026-01-06 14:30:00+00:00,2026-01-06 15:30:00+00:00,1,4479.56,4473.066285714286,4495.794285714286,4473.066285714286,-6.793714285714304,SL,2.224103018086414,0.9989581809505739,0.6395,8.11714285714288,1,4,-6.793714285714304
2026-03-10 13:15:00+00:00,2026-03-10 13:30:00+00:00,1,5221.53,5211.139714285714,5247.505714285714,5211.139714285714,-10.69028571428571,SL,2.1883254023806344,0.6281608974412461,0.68025,12.987857142857267,1,1,-17.484000000000016
2026-05-29 14:45:00+00:00,2026-05-29 15:00:00+00:00,1,4564.21,4591.417142857143,4591.417142857143,4553.3271428571425,26.90714285714257,TP,2.3084092720793516,0.9912520516746625,0.7275,13.603571428571481,1,1,9.423142857142555
2026-06-17 14:15:00+00:00,2026-06-17 14:30:00+00:00,1,4360.31,4354.199714285714,4375.585714285715,4354.199714285714,-6.410285714285965,SL,3.2353638417976835,0.9993333314241424,0.49550000000000005,7.637857142857099,1,1,3.01285714285659
2026-07-21 14:00:00+00:00,2026-07-21 15:30:00+00:00,1,4065.89,4082.905714285714,4082.905714285714,4059.083714285714,16.71571428571424,TP,2.319950437192983,0.637540958284926,0.63325,8.507857142857185,1,6,19.728571428570827
2026-07-22 13:00:00+00:00,2026-07-22 13:30:00+00:00,1,4125.77,4141.281428571429,4141.281428571429,4119.565428571429,15.21142857142895,TP,2.3812541780248577,0.9888631036478583,0.63225,7.755714285714346,1,2,34.93999999999978
2026-08-05 14:00:00+00:00,2026-08-05 15:00:00+00:00,1,4229.67,4257.645714285714,4257.645714285714,4218.479714285714,27.675714285714275,TP,2.2204850312637245,0.999360714854604,0.777,13.987857142857072,1,4,62.61571428571405
