t_in,t_out,lado,entry,exit,tp,sl,pnl,motivo,z,p_up,p_mc,atr,expansion,bars,eq,year
2023-10-11 13:45:00+00:00,2023-10-11 14:00:00+00:00,1,1872.21,1870.2568571428571,1877.0928571428572,1870.2568571428571,-2.253142857142893,SL,2.440764271887958,0.7510338435975384,0.6425,2.4414285714285273,1,1,24.22771428571373,2023
2023-10-18 13:30:00+00:00,2023-10-18 13:45:00+00:00,1,1959.03,1956.7397142857142,1964.7557142857142,1956.7397142857142,-2.590285714285801,SL,3.726603457517408,0.9993625305471537,0.7065,2.8628571428571212,1,1,21.63742857142793,2023
2023-11-01 14:00:00+00:00,2023-11-01 14:45:00+00:00,1,1989.44,1987.4262857142858,1994.4742857142858,1987.4262857142858,-2.313714285714286,SL,2.0634234573738737,0.9993895037269502,0.382,2.5171428571428414,1,3,19.323714285713642,2023
2023-11-08 13:00:00+00:00,2023-11-08 13:15:00+00:00,1,1966.32,1964.7971428571427,1970.1271428571429,1964.7971428571427,-1.8228571428572196,SL,2.1954984232436554,0.9856538466020335,0.48575,1.9035714285714351,1,1,17.50085714285642,2023
2023-12-14 14:30:00+00:00,2023-12-14 14:45:00+00:00,1,2047.78,2044.7525714285714,2055.3485714285716,2044.7525714285714,-3.3274285714285723,SL,3.0745023568306067,0.9983981170748687,0.70875,3.784285714285748,1,1,14.173428571427849,2023
2023-12-19 14:30:00+00:00,2023-12-19 14:45:00+00:00,1,2037.25,2042.0057142857142,2042.0057142857142,2035.3477142857143,4.455714285714248,TP,2.7996564093191956,0.999295239549896,0.58175,2.377857142857124,1,1,18.629142857142096,2023
2023-12-21 13:30:00+00:00,2023-12-21 13:45:00+00:00,1,2043.26,2041.1577142857143,2048.5157142857142,2041.1577142857143,-2.402285714285699,SL,2.9831666880036054,0.8908977565703046,0.55125,2.6278571428571564,1,1,16.226857142856396,2023
2024-01-22 14:45:00+00:00,2024-01-22 18:15:00+00:00,1,2022.72,2020.156,2029.1299999999999,2020.156,-2.864000000000078,SL,2.2750486390962164,0.9989793096408739,0.359,3.204999999999976,1,14,-2.864000000000078,2024
2024-01-30 14:00:00+00:00,2024-01-30 14:15:00+00:00,1,2042.86,2047.452857142857,2047.452857142857,2041.022857142857,4.292857142857156,TP,2.7366138654906185,0.996570628467822,0.5700000000000001,2.2964285714286103,1,1,1.428857142857078,2024
2024-01-31 14:30:00+00:00,2024-01-31 14:45:00+00:00,1,2049.81,2054.522857142857,2054.522857142857,2047.924857142857,4.412857142857047,TP,2.6331306466383295,0.9975404995166016,0.56825,2.356428571428572,1,1,5.841714285714125,2024
2024-02-01 16:00:00+00:00,2024-02-01 17:30:00+00:00,1,2059.94,2056.24,2069.19,2056.24,-4.000000000000273,SL,2.5390951160763873,0.9912489447358734,0.55075,4.625000000000081,1,6,1.8417142857138522,2024
2024-02-05 14:45:00+00:00,2024-02-05 15:00:00+00:00,1,2023.67,2021.5168571428571,2029.0528571428572,2021.5168571428571,-2.4531428571429386,SL,3.3359651554212015,0.9936221291156615,0.303,2.691428571428592,1,1,-0.6114285714290864,2024
2024-03-01 15:00:00+00:00,2024-03-01 15:15:00+00:00,1,2055.71,2061.7014285714286,2061.7014285714286,2053.3134285714286,5.691428571428514,TP,4.299550558152929,0.9959827434614735,0.621,2.9957142857142247,1,1,5.079999999999428,2024
2024-03-05 13:15:00+00:00,2024-03-05 13:30:00+00:00,1,2131.75,2129.499142857143,2137.377142857143,2129.499142857143,-2.5508571428570574,SL_amb,2.1321847297208043,0.9994093570705973,0.76125,2.8135714285714846,1,1,2.5291428571423706,2024
2024-03-06 13:45:00+00:00,2024-03-06 14:00:00+00:00,1,2139.44,2137.1525714285717,2145.1585714285716,2137.1525714285717,-2.587428571428336,SL,2.1334772941371742,0.986175165363379,0.5842499999999999,2.859285714285664,1,1,-0.058285714285965184,2024
2024-04-03 14:30:00+00:00,2024-04-03 16:30:00+00:00,1,2283.81,2293.542857142857,2293.542857142857,2279.916857142857,9.432857142857028,TP,2.4476600051053543,0.9984983088625493,0.5922499999999999,4.866428571428579,1,8,9.374571428571063,2024
2024-04-05 14:30:00+00:00,2024-04-05 14:45:00+00:00,1,2322.34,2316.5308571428573,2336.862857142857,2316.5308571428573,-6.109142857142888,SL,2.3327380707627117,0.9992154383946095,0.6062500000000001,7.261428571428496,1,1,3.265428571428175,2024
2024-04-12 14:00:00+00:00,2024-04-12 14:45:00+00:00,1,2414.18,2425.371428571428,2425.371428571428,2409.7034285714285,10.891428571428332,TP,2.641951378614956,0.9990974542611796,0.8082499999999999,5.595714285714264,1,3,14.156857142856506,2024
2024-04-15 14:30:00+00:00,2024-04-15 15:00:00+00:00,1,2349.39,2343.042,2365.2599999999998,2343.042,-6.647999999999956,SL,2.397596933209545,0.8319444615357228,0.37124999999999997,7.934999999999945,1,2,7.50885714285655,2024
2024-05-01 13:15:00+00:00,2024-05-01 14:00:00+00:00,1,2301.12,2307.46,2307.46,2298.584,6.040000000000146,TP,2.063208008462756,0.9992154878360672,0.40075,3.1700000000000728,1,3,13.548857142856695,2024
2024-05-14 13:45:00+00:00,2024-05-14 14:00:00+00:00,1,2353.95,2350.5145714285713,2362.5385714285712,2350.5145714285713,-3.735428571428474,SL,2.6123549675260365,0.9990556589055365,0.498,4.2942857142857065,1,1,9.813428571428222,2024
2024-05-17 13:00:00+00:00,2024-05-17 13:15:00+00:00,1,2402.89,2400.3202857142855,2409.3142857142857,2400.3202857142855,-2.869714285714326,SL,4.036933090449058,0.9990311212092232,0.606,3.2121428571428754,1,1,6.943714285713896,2024
2024-06-03 14:00:00+00:00,2024-06-03 15:00:00+00:00,1,2339.48,2336.438857142857,2347.0828571428574,2336.438857142857,-3.3411428571428585,SL,2.0905833995925707,0.9992874868330205,0.45275,3.80142857142859,1,4,3.6025714285710375,2024
2024-06-05 14:15:00+00:00,2024-06-05 15:30:00+00:00,1,2345.91,2355.54,2355.54,2342.058,9.330000000000108,TP,2.9711419325506254,0.9983450611365933,0.53475,4.815000000000022,1,5,12.932571428571146,2024
2024-06-20 13:30:00+00:00,2024-06-20 14:00:00+00:00,1,2345.19,2352.921428571429,2352.921428571429,2342.0974285714287,7.431428571428751,TP,2.8898970546116516,0.8082793070972414,0.5385,3.865714285714278,1,2,20.363999999999898,2024
2024-07-01 13:30:00+00:00,2024-07-01 13:45:00+00:00,1,2332.64,2330.045714285714,2339.1257142857144,2330.045714285714,-2.894285714285888,SL,2.4539181995525277,0.9990729106943084,0.44675,3.2428571428571495,1,1,17.46971428571401,2024
2024-07-02 13:30:00+00:00,2024-07-02 14:00:00+00:00,1,2333.37,2330.8031428571426,2339.7871428571425,2330.8031428571426,-2.8668571428573157,SL,2.226918587891877,0.8005388476767671,0.42900000000000005,3.2085714285713687,1,2,14.602857142856692,2024
2024-08-12 13:30:00+00:00,2024-08-12 13:45:00+00:00,1,2452.06,2457.4885714285715,2457.4885714285715,2449.8885714285716,5.128571428571559,TP,3.0542152897514785,0.9991397821154776,0.6485,2.714285714285682,1,1,19.73142857142825,2024
2024-08-12 15:00:00+00:00,2024-08-12 15:30:00+00:00,1,2459.0,2455.7182857142857,2467.2042857142856,2455.7182857142857,-3.581714285714315,SL,2.0577229196994677,0.9992832172394576,0.6695000000000001,4.102142857142813,1,2,16.149714285713934,2024
2024-08-13 13:30:00+00:00,2024-08-13 14:00:00+00:00,1,2473.68,2470.333142857143,2482.0471428571427,2470.333142857143,-3.646857142857061,SL,2.423717956007439,0.998452154501657,0.665,4.18357142857144,1,2,12.502857142856872,2024
2024-09-04 14:00:00+00:00,2024-09-05 05:45:00+00:00,1,2491.57,2500.997142857143,2500.997142857143,2487.799142857143,9.127142857142825,TP,2.517661131809929,0.9991096213982069,0.4435,4.713571428571446,1,59,21.629999999999697,2024
2024-09-12 13:00:00+00:00,2024-09-12 13:15:00+00:00,1,2538.12,2534.1079999999997,2548.15,2534.1079999999997,-4.312000000000171,SL,2.3179660799652515,0.9993492460082489,0.551,5.015000000000035,1,1,17.317999999999525,2024
2024-09-24 16:00:00+00:00,2024-09-24 19:15:00+00:00,1,2649.9,2660.4457142857145,2660.4457142857145,2645.6817142857144,10.245714285714438,TP,2.8077489329335945,0.9992450248418688,0.54275,5.272857142857122,1,13,27.563714285713964,2024
2024-10-01 13:30:00+00:00,2024-10-01 13:45:00+00:00,1,2662.34,2670.414285714286,2670.414285714286,2659.110285714286,7.774285714285907,TP,2.275459858898729,0.99934738118952,0.5835,4.037142857142856,1,1,35.33799999999987,2024
2024-10-02 13:15:00+00:00,2024-10-02 13:30:00+00:00,1,2657.9,2654.801142857143,2665.647142857143,2654.801142857143,-3.398857142857014,SL,2.254324939717224,0.9891462369214801,0.51625,3.87357142857143,1,1,31.93914285714286,2024
2024-10-15 14:00:00+00:00,2024-10-15 14:45:00+00:00,1,2654.64,2663.6671428571426,2663.6671428571426,2651.0291428571427,8.727142857142734,TP,2.5467835884891277,0.9584093893660014,0.4525,4.5135714285714,1,3,40.66628571428559,2024
2024-10-18 13:30:00+00:00,2024-10-18 18:45:00+00:00,1,2712.55,2720.4,2720.4,2709.4100000000003,7.549999999999909,TP,2.3100959530759018,0.6183466487641261,0.66775,3.924999999999987,1,21,48.216285714285505,2024
2024-10-25 14:00:00+00:00,2024-10-25 16:15:00+00:00,1,2737.7,2734.198857142857,2746.452857142857,2734.198857142857,-3.801142857142895,SL,3.160264481214917,0.9992231145407255,0.451,4.376428571428472,1,9,44.41514285714261,2024
2024-11-01 13:00:00+00:00,2024-11-01 13:15:00+00:00,1,2761.06,2757.986857142857,2768.7428571428572,2757.986857142857,-3.3731428571430113,SL,2.589958430194965,0.9987500024653247,0.383,3.8414285714286183,1,1,41.041999999999604,2024
2024-11-20 14:30:00+00:00,2024-11-20 14:45:00+00:00,1,2645.62,2642.058857142857,2654.522857142857,2642.058857142857,-3.8611428571428403,SL,2.0773108283508845,0.9992437886031198,0.497,4.451428571428648,1,1,37.180857142856766,2024
2024-12-04 13:15:00+00:00,2024-12-04 13:30:00+00:00,1,2645.3,2642.223428571429,2652.9914285714285,2642.223428571429,-3.376571428571242,SL,4.014347781601495,0.9925975752032505,0.47,3.8457142857142634,1,1,33.80428571428553,2024
2024-12-11 13:30:00+00:00,2024-12-11 14:30:00+00:00,1,2700.22,2697.2045714285714,2707.758571428571,2697.2045714285714,-3.3154285714284013,SL,3.1593421614207218,0.9990858114878598,0.59925,3.769285714285648,1,4,30.488857142857125,2024
2025-01-10 13:45:00+00:00,2025-01-10 14:15:00+00:00,1,2682.56,2690.6385714285716,2690.6385714285716,2679.328571428571,7.77857142857165,TP,3.5168383150470333,0.9567592741223557,0.5377500000000001,4.039285714285727,1,2,7.77857142857165,2025
2025-01-15 13:30:00+00:00,2025-01-15 13:45:00+00:00,1,2686.81,2693.145714285714,2693.145714285714,2684.2757142857145,6.035714285713948,TP,2.067312914175244,0.9797308634348224,0.619,3.167857142857071,1,1,13.814285714285598,2025
2025-01-20 14:00:00+00:00,2025-01-20 15:00:00+00:00,1,2710.48,2707.4462857142858,2718.0642857142857,2707.4462857142858,-3.333714285714268,SL,2.1148019196775896,0.9739678958282115,0.481,3.7921428571429323,1,4,10.48057142857133,2025
2025-01-21 14:45:00+00:00,2025-01-21 15:30:00+00:00,1,2738.03,2735.265428571429,2744.941428571429,2735.265428571429,-3.0645714285713437,SL,2.0163414577038883,0.9992949354918798,0.6845,3.455714285714326,1,3,7.415999999999987,2025
2025-02-19 13:00:00+00:00,2025-02-19 13:45:00+00:00,1,2940.11,2937.032857142857,2947.802857142857,2937.032857142857,-3.3771428571429167,SL,2.4240634251905893,0.9378773476451083,0.6585,3.846428571428565,1,3,4.03885714285707,2025
2025-03-03 15:15:00+00:00,2025-03-03 15:30:00+00:00,1,2889.2,2885.328,2898.8799999999997,2885.328,-4.171999999999843,SL,2.1936797674806625,0.9988812648302307,0.5954999999999999,4.840000000000016,1,1,-0.13314285714277307,2025
2025-03-05 14:30:00+00:00,2025-03-05 15:00:00+00:00,1,2914.77,2909.666,2927.5299999999997,2909.666,-5.403999999999814,SL,2.471964561419047,0.7712427430104946,0.40775,6.3799999999999795,1,2,-5.537142857142587,2025
2025-04-09 13:30:00+00:00,2025-04-09 16:45:00+00:00,1,3072.87,3094.49,3094.49,3064.2219999999998,21.31999999999989,TP,2.006027861631675,0.996971988774723,0.609,10.810000000000011,1,13,15.782857142857303,2025
2025-04-10 14:00:00+00:00,2025-04-10 15:15:00+00:00,1,3142.79,3163.1914285714283,3163.1914285714283,3134.6294285714284,20.101428571428368,TP,3.1287290234911556,0.9818553588219535,0.636,10.20071428571425,1,5,35.88428571428567,2025
2025-04-16 13:45:00+00:00,2025-04-16 15:45:00+00:00,1,3311.62,3327.9442857142853,3327.9442857142853,3305.0902857142855,16.02428571428545,TP,2.9525219592458902,0.9026346678603753,0.73975,8.162142857142758,1,8,51.90857142857112,2025
2025-04-28 14:30:00+00:00,2025-04-28 15:30:00+00:00,1,3329.99,3323.3614285714284,3346.561428571428,3323.3614285714284,-6.928571428571376,SL,2.852267810075757,0.9994354321408364,0.54875,8.285714285714253,1,4,44.97999999999975,2025
2025-04-30 13:30:00+00:00,2025-04-30 13:45:00+00:00,1,3318.55,3310.7037142857143,3338.1657142857143,3310.7037142857143,-8.146285714285842,SL,2.387059640970229,0.9992621869026371,0.485,9.807857142857172,1,1,36.83371428571391,2025
2025-05-15 14:00:00+00:00,2025-05-15 15:45:00+00:00,1,3203.25,3218.0157142857142,3218.0157142857142,3197.343714285714,14.465714285714238,TP,2.5456757898855074,0.998684567011858,0.44925000000000004,7.382857142857184,1,7,51.29942857142815,2025
2025-05-20 13:45:00+00:00,2025-05-20 14:00:00+00:00,1,3261.23,3274.74,3274.74,3255.826,13.209999999999763,TP,4.340197712395937,0.9987106973785042,0.5245,6.754999999999947,1,1,64.50942857142792,2025
